,name,delta.score,Q.residual
1,Assamese,0.400350,0.005078
2,Asturian,0.317280,0.003431
3,Belarusian,0.361660,0.003758
4,Bulgarian,0.372600,0.003645
5,Bengali,0.351150,0.004065
6,Bosnian,0.350850,0.003139
7,Catalan,0.335040,0.003781
8,Sorani-Kurdish,0.379500,0.003433
9,Czech,0.375970,0.003355
10,Welsh,0.379430,0.003406
11,Danish,0.377660,0.004027
12,German,0.379390,0.004255
13,English,0.376320,0.003727
14,Spanish,0.326450,0.003726
15,Persian,0.372060,0.004356
16,French,0.382750,0.004226
17,Irish,0.362580,0.003640
18,Galician,0.338220,0.003734
19,Gujarati,0.343550,0.004020
20,Hindi,0.309210,0.003315
21,Croatian,0.336890,0.003240
22,Armenian,0.405160,0.004108
23,Italian,0.333840,0.003722
24,Kabuverdianu,0.340740,0.004165
25,Luxembourgish,0.397590,0.004446
26,Lithuanian,0.419260,0.004880
27,Latvian,0.421700,0.005090
28,Macedonian,0.372810,0.003296
29,Marathi,0.334020,0.004123
30,Norwegian,0.398310,0.003645
31,Nepali,0.351330,0.004474
32,Occitan,0.328350,0.003879
33,Oriya,0.314950,0.005102
34,Punjabi,0.342900,0.004404
35,Polish,0.394960,0.004102
36,Pashto,0.355370,0.004858
37,Portuguese,0.374020,0.003844
38,Romanian,0.385350,0.004359
39,Russian,0.363250,0.003752
40,Sindhi,0.329550,0.003183
41,Slovak,0.370550,0.004250
42,Slovenian,0.385570,0.004288
43,Serbian,0.357520,0.003380
44,Swedish,0.382960,0.003794
45,Ukrainian,0.364680,0.003866
46,Urdu,0.318020,0.003657
47,Greek,0.400010,0.003847
48,Icelandic,0.384530,0.004056
49,Dutch,0.369780,0.004257
50,Tajik,0.379160,0.004463
51,Afrikaans,0.389310,0.003891